	GFP1	GFP2	GFP3	GFP4	GFP5	GFP6	GFP7	GFP8	GFP9	GFP10	GFP11
ABLIM1	1.247217717	1.135156239	1.248962385	1.205613351	1.211965731	1.112084624	1.157520508	1.233181743	1.205861679	1.273627815	1.336697888
ABLIM3	-0.021586675	0.053602092	-0.01195625	0.041765743	-0.03624703	0.061286994	0.013795311	0.038400671	0.017611518	0.019232687	-0.025536827
ABO	-0.160265635	-0.148900757	-0.157569215	-0.170004561	-0.21192455	-0.178081884	-0.177276524	-0.065698603	-0.241551554	-0.159855467	-0.184191475
ABP1	-0.272016429	-0.24356642	-0.085466591	-0.18137253	-0.252712794	-0.213711075	-0.205028474	-0.155790505	-0.207065422	-0.144323727	-0.172825206
ABR	0.277151418	0.407063977	0.280746686	0.294070219	0.334817988	0.223636241	0.307175749	0.260514111	0.25105783	0.179501939	0.250635349
ABT1	0.190188401	0.275189984	0.097695152	0.09103741	0.188174803	0.100332435	0.07313949	0.178877053	0.194584089	0.21038304	0.136010716
ABTB2	0.051118975	0.074593477	0.006542402	-0.035515863	0.063898558	-0.02525018	0.007280282	0.041746921	0.153360408	0.026329265	0.077003502
ACAA1	0.532313046	0.486133261	0.591320073	0.516232756	0.602043001	0.519891834	0.505557943	0.637897988	0.598436517	0.538530376	0.638580594
ACAA2	0.351598218	0.291227159	0.259729387	0.212452373	0.266224405	0.299294882	0.280732477	0.286090189	0.284731194	0.258852479	0.286338384
ACACA	1.215683334	1.314440439	1.430490776	1.344482577	1.411464095	1.305079111	1.323270876	1.265864296	1.259894388	1.31800228	1.307195904
ACACB	-0.143745666	-0.12218932	-0.093914215	-0.101530527	-0.12812998	-0.105426613	-0.089881533	-0.122558168	-0.118607321	-0.123657522	-0.105489245
ACAD10	0.147248736	0.125022243	0.105980511	0.129627567	0.212704054	0.089669921	0.082335483	0.080373995	0.050484004	0.007477536	0.16736727
ACAD8	0.343211986	0.407564005	0.445984943	0.431445807	0.511750107	0.356178901	0.34944578	0.345255048	0.226321471	0.291797625	0.473719606
ACADL	-0.270030709	-0.269705463	-0.319926132	-0.29372694	-0.260790483	-0.243210323	-0.282187105	-0.243051895	-0.250462854	-0.308524633	-0.251770826
ACADM	0.6233483	0.618593666	0.507842665	0.537505751	0.557058844	0.384237035	0.524183692	0.535221772	0.504251552	0.505230094	0.643648022
ACADS	0.099303635	0.043269797	0.054492469	0.075440982	0.145239803	0.109485136	0.091799393	0.044092347	0.050798709	0.050279065	0.011285445
ACADSB	0.009975456	0.131597466	0.022327758	-0.058005819	0.011701554	0.084355778	-0.022233311	-0.012004121	0.022066317	-0.061338	0.04272065
ACADVL	2.032300595	2.051355546	2.394793898	2.179717686	2.387812694	2.152921354	2.156121461	1.950255767	2.186947351	2.059356397	2.32259551
ACAN	-0.137057211	-0.135767368	-0.123586203	-0.121686967	-0.085601926	-0.116510907	-0.110363577	-0.080368305	-0.145097086	-0.114128453	-0.119421866
ACAP1	0.073260039	0.040413791	0.015452999	0.053297285	0.046853722	0.027865838	0.026100477	0.01026889	0.04351666	0.039944659	-0.012963321
ACAP2	0.732429211	0.683096581	0.618598046	0.763092705	0.605579831	0.589868714	0.746501988	0.610536914	0.60843025	0.600075045	0.805905175
ACAT1	0.706826556	0.727522571	0.706455711	0.715006113	0.60394517	0.779949076	0.863918021	0.770625778	0.764482647	0.724143445	0.730454329
ACAT2	0.653133661	0.669988306	0.50795533	0.570757354	0.563309563	0.669511523	0.629372878	0.659133289	0.59794022	0.579808868	0.646997141
ACBD3	0.790704374	0.803774803	0.68572902	0.843901121	0.733622344	0.751764523	0.760150663	0.758050864	0.76475609	0.76085636	0.806586869
ACBD4	0.170365171	0.166146923	0.171956236	0.122083311	0.141310946	0.124947013	0.145514204	0.147036198	0.198017652	0.150190907	0.105696787
ACCN1	-0.066368891	-0.044584127	-0.091201256	-0.037242226	-0.040440435	-0.115985225	-0.054174306	-0.060731309	-0.00722544	-0.143877676	-0.120165626
ACCN2	-0.033793567	0.057059434	-0.00118343	-0.064659783	0.0033137	-0.026463007	-0.017237558	-0.066966473	-0.048500306	-0.082946725	-0.030752354
ACCN3	-0.011687045	-0.081890668	-0.035266822	0.011810977	-0.068273866	-0.053195863	-0.020274047	-0.063568028	-0.045765016	-0.017136062	0.023801454
ACCN4	-0.169189398	-0.172370253	-0.134094167	-0.114709919	-0.143141888	-0.132477758	-0.157338964	-0.165558521	-0.143764603	-0.22685581	-0.164051299
ACD	0.734862356	0.720115152	0.576525369	0.679409911	0.638718102	0.685554902	0.662479027	0.677613987	0.58370024	0.448857721	0.655417553
ACE	-0.001561087	-0.018424014	-0.008203225	0.005347442	-0.017180397	0.097591193	0.073333654	-0.063820896	0.012070737	0.066248829	0.054235733
ACE2	-0.154745672	-0.202031727	-0.197214192	-0.169231257	-0.195512721	-0.216228386	-0.188857282	-0.212539735	-0.186091456	-0.221199956	-0.226399872
ACHE	-0.250256454	-0.247327045	-0.221992832	-0.205794171	-0.16690908	-0.190546217	-0.240548537	-0.260821588	-0.197530144	-0.285692252	-0.252338151
ACIN1	0.705809032	0.653549287	0.813388109	0.754676133	0.808690386	0.622030978	0.835704532	0.632176906	0.556851686	0.593026635	0.749299261
ACLY	1.310546451	1.34536666	1.424775096	1.273897331	1.287732596	1.3709091	1.293664067	1.170567054	1.157789043	1.058700581	1.238432982
ACN9	0.10104636	0.101487706	0.023757839	0.031827623	0.068951178	0.115626775	0.07396861	0.097043758	0.007671783	0.009335247	0.082665972
ACO1	0.26311686	0.254771781	0.238797083	0.323179391	0.222569633	0.198187472	0.274639801	0.121844119	0.137109606	0.165468099	0.240821943
ACO2	1.177921526	1.089152463	1.235319913	1.202559121	1.141126569	1.282190572	1.186598517	1.098961983	1.162517417	1.049961686	1.131606363
ACOT11	-0.035626527	0.082315334	-0.041925777	-0.056183404	-0.024790636	0.027525993	0.050362584	-0.031831782	-0.012390403	-0.011019923	-0.020366488
ACOT13	0.595000654	0.741737379	0.380751664	0.405779785	0.580119629	0.425120171	0.3614213	0.690247047	0.573871478	0.438286111	0.49751942
ACOT7	0.763536621	0.705162206	0.635122976	0.606303761	0.642469247	0.718305362	0.69024459	0.77976815	0.730838678	0.667053843	0.669862264
ACOT8	0.277655246	0.203473097	0.154218902	0.14768953	0.121888288	0.214085904	0.168497121	0.246886417	0.291336153	0.217300927	0.269945212
ACOT9	1.358205828	1.519687514	1.371543586	1.363683542	1.484271864	1.473916537	1.378217644	1.480582992	1.360425333	1.403332545	1.564516385
ACOX1	0.145985458	0.206315002	0.110692499	0.159619262	0.094648637	0.126001495	0.087297268	0.201652724	0.237860167	0.160604921	0.288231989
ACOX2	-0.223322679	-0.179859947	-0.240692243	-0.17945474	-0.167835206	-0.138930267	-0.23517278	-0.257169714	-0.262251858	-0.315830053	-0.228101158
ACOX3	0.268133069	0.310969505	0.33830903	0.264325086	0.287000284	0.223002426	0.272226223	0.270336961	0.285461264	0.305756294	0.37146442
ACP1	1.02278682	0.921163397	0.830966176	0.919303745	0.863738084	0.773076892	0.893837816	1.081138493	0.888760134	0.837526939	0.87203569
ACP2	1.057802823	1.170210315	1.084204233	1.136915306	1.194653909	1.290251526	1.117620462	1.02936473	0.993720439	0.962479628	1.091075334
ACP5	-0.065669094	-0.061250404	-0.072419293	-0.114120434	-0.095592326	-0.110739317	-0.080334141	-0.01041284	-0.089003847	-0.058279139	-0.046829255
ACP6	0.645136231	0.620610794	0.764520236	0.582791603	0.679639341	0.783046778	0.682395755	0.735478887	0.679132704	0.687963637	0.754562302
ACPP	-0.100831571	-0.175117546	-0.05857702	-0.107078527	-0.073479427	-0.143885244	-0.107101554	-0.079385445	-0.096501765	-0.098845201	-0.125584377
ACRV1	-0.248709867	-0.222625622	-0.259460711	-0.211165857	-0.221955763	-0.22374463	-0.244948642	-0.254219187	-0.250728261	-0.265858935	-0.248983816
ACSBG1	-0.251230009	-0.213533079	-0.196265471	-0.270622676	-0.187720516	-0.188612427	-0.15112453	-0.202752295	-0.179049514	-0.260416869	-0.187916913
ACSBG2	-0.102419008	-0.090710215	-0.072368132	-0.113166265	-0.118519414	-0.178001358	-0.123304416	-0.165367083	-0.216188515	-0.169675807	-0.128516448
ACSF2	0.636558461	0.520279028	0.635398605	0.499566873	0.580915217	0.593453407	0.481757546	0.457526492	0.368678949	0.437233332	0.435685311
ACSL1	1.212239549	1.18550992	1.320408854	1.222650967	1.20399838	1.185926666	1.251907536	1.083086224	1.154907917	1.067587775	1.297510362
ACSL3	1.887547048	1.721033514	1.702716568	1.944568199	1.88072733	1.856078472	1.951870315	1.724434088	1.788622004	1.806958712	2.10413206
ACSL5	-0.035970283	-0.11702584	-0.063272	-0.049333008	-0.109770372	-0.055321049	-0.015987841	-0.128222891	-0.142533674	-0.124532219	-0.097705254
ACSL6	-0.244869026	-0.216351771	-0.259945745	-0.201763108	-0.308453835	-0.344515499	-0.220906048	-0.189616946	-0.194617996	-0.263452365	-0.228986664
ACSM1	-0.185966422	-0.224700083	-0.215719441	-0.218711384	-0.14477715	-0.218731326	-0.209345061	-0.229557268	-0.216384417	-0.320353822	-0.193018595
ACSM3	-0.141116432	-0.09783016	-0.141756222	-0.117474736	-0.140225516	-0.122085533	-0.118000253	-0.185070144	-0.13348506	-0.15196625	-0.159113848
ACSM5	-0.214927143	-0.198098173	-0.227179393	-0.241929366	-0.236338521	-0.270439571	-0.252921573	-0.239445916	-0.21364797	-0.326578667	-0.298212422
ACSS3	-0.107311457	-0.149865578	-0.180206992	-0.195479315	-0.183551068	-0.189129401	-0.12587495	-0.188270863	-0.192128277	-0.184038307	-0.182232716
ACTA1	0.190556248	0.241134777	0.197805603	0.223677818	0.205423016	0.179904078	0.215852811	0.115743647	0.062975937	0.130848552	0.11457546
ACTA2	0.773096934	0.711839195	0.577592181	0.648597535	0.592918407	0.681561802	0.857320983	0.792516671	0.556639645	0.512890324	0.619614854
ACTB	4.118127882	4.283860802	3.814941861	3.925335288	3.884719595	4.008594647	4.10869281	3.474513955	4.061063506	3.932445526	3.834882282
ACTC1	-0.151911137	-0.175489646	-0.088552469	-0.099934752	-0.101399042	-0.117184298	-0.135390823	-0.131649555	-0.152615217	-0.196625186	-0.170327393
ACTG1	3.82385163	3.58486021	4.007679206	4.089540746	3.932562007	3.904320037	3.941313487	3.791769646	4.052048515	3.95992544	3.810875734
ACTG2	1.570932597	1.350553911	1.383207303	1.494060606	1.503143452	1.589440759	1.627985891	1.624000326	1.487616099	1.361150533	1.525392763
ACTL6A	0.382446658	0.416505218	0.364216555	0.494476009	0.370258528	0.273463323	0.372686811	0.376216005	0.357829943	0.286274531	0.440422813
ACTL6B	-0.297813097	-0.252716828	-0.282438336	-0.268745699	-0.275551423	-0.236654618	-0.236690574	-0.252506655	-0.233035098	-0.289035404	-0.287319701
ACTL7A	-0.294903096	-0.194074518	-0.289124288	-0.25182068	-0.21234133	-0.328702273	-0.223433447	-0.197489704	-0.309408938	-0.298680282	-0.214642237
ACTL7B	-0.267524925	-0.217558033	-0.276014394	-0.288546309	-0.238816116	-0.188193798	-0.234518865	-0.182689017	-0.166099772	-0.2541754	-0.230071271
ACTL8	0.034061404	-0.047156227	0.048947334	0.022187876	-0.034955075	0.001239871	0.034843978	0.012676577	0.031711332	0.061524879	-0.007217841
ACTN1	3.413843075	3.347355127	3.27075474	3.391094764	3.349759465	3.378652339	3.417535012	3.239695728	3.139762739	3.154066677	3.136966328
ACTN2	-0.110459121	-0.099557894	-0.102805292	-0.050277218	-0.094921752	-0.097309355	-0.092635999	-0.09455378	-0.117991466	-0.153444818	-0.133054249
ACTN3	-0.074047975	-0.122767773	-0.141561144	-0.134496581	-0.11075325	-0.106774978	-0.14434813	-0.108211465	-0.100845348	-0.123994728	-0.172309086
ACTN4	0.291456953	0.360725798	0.273152522	0.352889806	0.338283804	0.378430441	0.328758732	0.270641096	0.275147103	0.358605996	0.355747212
ACTR10	1.696759184	1.725249833	1.530931079	1.581437137	1.489983281	1.536049479	1.625949575	1.686573512	1.711539216	1.711815655	1.659104009
ACTR1A	0.903578513	0.995341173	0.84200584	0.88725115	0.8572135	0.844195336	0.954879667	0.818051581	0.805094196	0.760158048	0.782399166
ACTR1B	0.628308727	0.656929164	0.590244415	0.576931377	0.680277855	0.604980294	0.630452036	0.565467378	0.549205791	0.495684191	0.635519871
ACTR2	1.398635892	1.395527986	1.266715454	1.418025051	1.256083322	1.326633696	1.461977638	1.491987233	1.501566543	1.457805757	1.474594494
ACTR3	2.006229542	1.844756343	1.740412973	1.971338585	1.861052409	1.890099615	2.018918837	1.9403488	2.054150667	1.936800461	2.058439679
ACTR3B	0.213814488	0.186285866	0.209715396	0.250669688	0.285190837	0.254835132	0.275727777	0.110126085	0.081911476	0.283909424	0.318780733
ACTR5	0.183494453	0.197892158	0.154662648	0.136795675	0.192404595	0.194134623	0.18867138	0.167915727	0.091601944	0.128065406	0.250086299
ACTR6	0.385662852	0.40169717	0.275530293	0.337420068	0.361155551	0.327625704	0.331593949	0.491666998	0.497456886	0.467538933	0.432173461
ACTR8	-0.045451863	0.010126808	-0.058086595	-0.103205952	-0.036942988	-0.12569697	-0.03365509	-0.081887191	-0.034554402	-0.02849798	-0.055456803
ACVR1	1.160088271	1.274282995	1.256584581	1.064505431	1.246321486	1.316988233	1.270288239	1.179716987	1.253851932	1.246403002	1.440802528
ACVR1B	0.285883721	0.24775941	0.177126286	0.269846955	0.241967751	0.261282595	0.257255745	0.205672109	0.262445075	0.16687751	0.269081671
ACVR2A	0.728201542	0.788804524	0.759898461	0.896917211	0.805275917	0.937801401	0.884045031	0.792120642	0.885602196	0.755671024	0.886107544
ACVR2B	-0.042242073	-0.010794708	-0.128791364	-0.135337573	-0.108588662	-0.067224843	-0.098276731	0.007795796	-0.183031172	-0.223859333	-0.077504232
ACVRL1	-0.126757971	-0.136256042	-0.171709467	-0.128935691	-0.20753779	-0.158103619	-0.053368938	-0.126417859	-0.159831975	-0.148661699	-0.120132163
ACY1	0.768791317	0.992410922	0.809533073	0.82972632	0.893706789	0.904449537	0.888234047	0.85597525	0.914424274	0.840508182	0.908292556
ACYP1	0.274088503	0.333434937	0.281690755	0.210531203	0.315765493	0.372437106	0.341256884	0.359439425	0.294439449	0.233702172	0.388349934
ACYP2	0.236838614	0.292514327	0.159972443	0.209847697	0.213455187	0.202232952	0.282361118	0.259864139	0.197938534	0.183961207	0.253661116
ADA	0.061485254	0.055825971	0.028583961	0.001514761	0.034276769	0.083152809	0.008334813	0.033417058	-0.030711296	-0.050222017	-0.000197897
ADAM10	1.070644034	1.120603495	1.028765039	1.151088927	1.141950276	1.240504376	1.153221082	1.172107341	1.218013913	1.292229412	1.382291857
ADAM11	-0.131619629	-0.054634057	-0.114075549	-0.157650013	-0.116092823	-0.117939219	-0.108067496	-0.042151885	-0.082582703	-0.081630688	-0.134188626
ADAM12	-0.102105584	-0.138326864	-0.115904369	-0.123509789	-0.12479631	-0.137647767	-0.103231474	-0.082631837	-0.071424738	-0.092663402	-0.095326412
ADAM15	0.745212801	0.847564152	0.767494159	0.906604501	0.906505162	0.930148147	0.825562844	0.634406723	0.672563747	0.725626644	0.747317827
ADAM17	0.766030319	0.769722566	0.701984072	0.89613686	0.920372417	0.828730689	0.785178997	0.556519736	0.743678379	0.757960733	0.953387519
ADAM18	-0.154126924	-0.141724186	-0.121529821	-0.162743195	-0.201077662	-0.024440679	-0.183496474	-0.092254013	-0.026100629	-0.069170465	-0.064627743
ADAM19	-0.075738001	0.019714357	0.003714174	-0.005959732	-0.043171919	0.009782483	-0.017776838	-0.057492039	-0.043044246	-0.088524828	0.08771531
ADAM2	-0.191790533	0.00923823	-0.201595869	-0.222368874	-0.285178471	-0.184184715	-0.158884767	-0.204347246	-0.253817392	-0.233324457	-0.216139407
ADAM20	-0.150828733	-0.101934106	-0.126937187	-0.164070042	-0.17389268	-0.163706555	-0.193311636	-0.148114572	-0.14754088	-0.252438402	-0.183698186
ADAM21	-0.129619062	-0.331277162	-0.044816568	-0.19749701	-0.274534434	-0.13289614	-0.321788311	-0.373519987	-0.26970908	-0.396465212	-0.251191109
ADAM22	-0.222825175	-0.194874135	-0.221027734	-0.189469818	-0.184964696	-0.246290496	-0.188097246	-0.239127787	-0.259164729	-0.225866216	-0.200998508
ADAM23	0.020473585	-0.046666672	0.007880163	0.002851323	-0.024894202	0.027822516	0.010518651	0.048076106	0.087057002	0.049781737	-0.038107859
ADAM28	-0.145713884	-0.146800975	-0.138977527	-0.053735794	-0.154437531	-0.15623634	-0.162507017	-0.180255749	-0.20530417	-0.177373003	-0.126597862
ADAM29	0.041511854	0.015134164	-0.112894967	-0.025405128	-0.033196092	-0.010603743	-0.043962057	-0.057626856	-0.046337727	-0.130516813	-0.135278689
ADAM30	-0.083555487	-0.08514815	-0.114710686	-0.065640416	-0.097684483	-0.061090589	-0.041941153	-0.024601933	-0.145488718	-0.061456804	-0.163535285
ADAM3A	-0.201257502	-0.231353944	-0.307574471	-0.254390442	-0.218205615	-0.205117304	-0.228726181	-0.259736122	-0.436152282	-0.291597491	-0.377589744
ADAM5P	-0.116494525	-0.142250496	-0.202656878	-0.145741888	-0.192711559	-0.142686412	-0.145044865	-0.165910577	-0.222769255	-0.242946202	-0.179328363
