	PI3K1	PI3K2	PI3K3	PI3K4	PI3K5	PI3K6	PI3K7	PI3K8
ACADVL	1.973489714	1.887361918	1.863088531	1.817567937	1.950159529	1.947847119	1.979719549	1.822539244
ACAN	-0.14525267	-0.089306629	-0.161381762	-0.140334402	-0.113305403	-0.08702481	-0.116247575	-0.151132789
ACAP1	0.100822886	0.005574823	0.030624191	0.019497262	0.01699119	0.027504386	0.061889189	0.02185829
ACAP2	0.720754973	0.891108206	0.868156943	0.746070084	0.715018199	0.902354878	0.83421175	0.649396034
ACAT1	1.005715378	1.224493362	1.169096865	1.144666895	1.160983965	1.210990198	1.010795504	1.026455454
ACAT2	1.047592443	1.003953936	1.088199794	1.114735266	1.029347031	1.024752163	1.02990564	0.980501691
ACBD3	1.15589688	1.264885439	1.173198055	1.284563967	1.10199944	1.22731425	1.060997518	1.182384499
ACBD4	0.211073962	0.149108693	0.106047905	0.184498682	0.1755092	0.152958503	0.186255008	0.13174118
ACCN1	-0.137374538	-0.043313108	-0.082934928	-0.029536575	-0.031531249	-0.070810967	-0.07253883	-0.021602201
ACCN2	0.024327068	0.01751567	0.002936934	-0.011943781	0.050170943	0.041514341	0.050662787	0.023009504
ACCN3	-0.066166789	-0.092886801	-0.193039648	-0.119007623	-0.082795363	-0.073226143	-0.072076427	-0.06300507
ACCN4	-0.134641464	-0.076528776	-0.026976261	-0.107794935	-0.157103535	-0.125631303	-0.093704645	-0.087870058
ACD	0.979787171	0.986930085	0.984318501	1.026263535	0.977764673	0.955722007	0.898590518	0.871144573
ACE	0.031000354	0.069889231	0.09040834	0.017626452	0.089011583	0.099663128	-0.030427943	0.044886055
ACE2	-0.156127547	-0.168469509	-0.116440386	-0.130493636	-0.198472611	-0.142937322	-0.132651342	-0.184377865
ACHE	-0.280547994	-0.221708051	-0.241060715	-0.175135886	-0.193393956	-0.165957725	-0.253014753	-0.194082389
ACIN1	0.650245319	0.563790744	0.550792939	0.483996402	0.637148152	0.601153377	0.588280247	0.494608319
ACLY	2.031090314	1.715016987	1.84676857	1.8336605	1.979563692	1.901641507	1.945844388	1.861010437
ACN9	0.173712846	0.20653682	0.113427074	0.167438915	0.163745533	0.226701657	0.197610803	0.195527121
ACO1	0.471949959	0.509396506	0.469090177	0.518958327	0.462254932	0.60204238	0.516009654	0.444920888
ACO2	1.389972061	1.429912858	1.356867496	1.45080664	1.389708184	1.49796284	1.462579675	1.389142737
ACOT11	-0.062542359	0.007653252	0.020114294	0.018922934	-0.008917398	0.014300748	-0.011201594	0.002324562
ACOT13	1.063718031	0.828309058	1.007293404	1.259455038	0.796295027	0.757205055	1.057838119	1.048583099
ACOT7	0.896091553	0.970161738	0.841216841	0.996452137	0.8418228	0.923336585	0.806048966	0.81099943
ACOT8	0.468512121	0.505072233	0.448514	0.531149453	0.431985602	0.498662454	0.418677894	0.392428636
ACOT9	1.307374914	1.275746014	1.247621298	1.323625273	1.182962139	1.308644798	1.312604977	1.303582443
ACOX1	0.333106277	0.426646272	0.327933991	0.380265394	0.309642629	0.42586769	0.396053731	0.335295067
ACOX2	-0.17930885	-0.125201083	-0.163339253	-0.126406684	-0.146558815	-0.130581159	-0.156559161	-0.205755733
ACOX3	0.431370815	0.468735612	0.369795521	0.399176969	0.337071431	0.347240504	0.387057727	0.382643987
ACP1	1.098400361	1.156932129	1.01731412	1.076533245	1.078319613	1.065217827	0.984061666	0.963497779
ACP2	1.069852458	1.105340785	1.09332339	1.054926442	0.978162196	1.286575238	1.285373516	1.119877073
ACP5	-0.066148655	-0.083477749	-0.038587335	-0.089879568	-0.053781722	-0.030397139	-0.044798126	-0.041465845
ACP6	0.609515332	0.726826269	0.659929197	0.716360355	0.595921999	0.73040754	0.678068869	0.635597784
ACPP	-0.177000881	-0.135699586	-0.10765299	-0.115805816	-0.089795982	-0.129736115	-0.106790649	-0.130622372
ACRV1	-0.210542892	-0.191706712	-0.187880876	-0.195160808	-0.193946995	-0.191753829	-0.193871674	-0.177053607
ACSBG1	-0.1969783	-0.165709294	-0.222103384	-0.187763938	-0.274453777	-0.137149543	-0.112095029	-0.207839312
ACSBG2	-0.152984018	-0.128296535	-0.118644103	-0.133826735	-0.097965072	-0.164013176	-0.090401523	-0.100006013
ACSF2	0.715640425	0.753810316	0.773204064	0.721730464	0.73887697	0.731615985	0.720157753	0.766893225
ACSL1	1.880790134	1.876268668	1.911283099	1.697701613	1.836117509	1.879256368	1.978873574	1.923363758
ACSL3	1.76022961	1.658485637	1.67701024	1.651944771	1.602848908	1.83030172	1.823919459	1.912096655
ACSL5	-0.076961565	-0.078487818	-0.090536901	-0.067977338	-0.108383384	-0.018725199	-0.102528935	-0.074706641
ACSL6	-0.247684342	-0.255150682	-0.203345273	-0.275850175	-0.353744358	-0.232419529	-0.239540841	-0.192888724
ACSM1	-0.245770337	-0.228952749	-0.223670115	-0.224227234	-0.227113755	-0.150923992	-0.247193464	-0.17373346
ACSM3	-0.052221894	-0.074928572	-0.039217796	-0.013824789	0.001726734	-0.071553024	-0.057888533	-0.079951153
ACSM5	-0.22146659	-0.214738542	-0.193834504	-0.20363452	-0.201098558	-0.192972711	-0.175451307	-0.224717551
ACSS3	-0.136400935	-0.119223519	-0.119052041	-0.144612017	-0.127963328	-0.102598347	-0.114207484	-0.102688796
ACTA1	0.248730799	0.275216142	0.207224959	0.300458646	0.291840652	0.178034421	0.230882861	0.259802798
ACTA2	1.082441658	1.221812345	1.044530861	1.247104101	1.05518683	1.143433236	0.965207405	1.080895432
ACTB	4.258642513	3.715938706	4.213003479	3.759692423	3.976988785	3.412350878	4.349766075	3.711939439
ACTC1	-0.117201762	-0.084697707	-0.102638384	-0.042528552	-0.074200817	0.014039753	-0.080942111	-0.058983
ACTG1	3.61848274	3.523925463	3.616873688	3.622910685	3.71565017	3.49453889	3.482136444	3.631199854
ACTG2	1.726283133	1.9665097	1.697533451	1.930157945	1.628627814	1.789638124	1.629357859	1.742472701
ACTL6A	0.74044151	0.683266084	0.64851033	0.63974344	0.518795004	0.723810714	0.688706316	0.737489312
ACTL6B	-0.249701437	-0.196360679	-0.240298525	-0.260085252	-0.280247295	-0.193406133	-0.244602705	-0.219330224
ACTL7A	-0.227797518	-0.225423	-0.218795478	-0.154633772	-0.243164502	-0.196818938	-0.205447399	-0.188700448
ACTL7B	-0.244149778	-0.205877576	-0.242139447	-0.140584151	-0.167372023	-0.152573617	-0.192535464	-0.166650505
ACTL8	0.030458052	-0.030390387	-0.021573595	-0.063884277	-0.029998232	-0.014330689	0.013380782	-0.056302856
ACTN1	3.262874946	3.14000393	3.272633776	3.227067495	3.336619	3.17107524	3.247623255	3.243503645
ACTN2	-0.088477053	-0.097315395	-0.059864759	-0.079398162	-0.052486323	-0.083437659	-0.075263018	-0.085829385
ACTN3	-0.200805915	-0.027064585	-0.084172032	-0.088420922	-0.109598188	-0.024249884	-0.086759553	-0.073275582
ACTN4	0.520288378	0.588416234	0.454505355	0.518335074	0.357651472	0.620472044	0.598794758	0.410475455
ACTR10	1.688820177	1.897745305	1.804509163	1.924790038	1.804840644	1.838509255	1.819368985	1.744336466
ACTR1A	1.135269876	1.214009404	1.07305372	1.15730075	1.214447989	1.181844858	1.096349251	1.106110846
ACTR1B	0.794225325	0.762443954	0.711086286	0.766785366	0.766775517	0.772257778	0.760129842	0.705222795
ACTR2	1.534625991	1.637126377	1.506326034	1.669216046	1.4957341	1.722754313	1.520566525	1.583559323
ACTR3	2.082330637	2.143776037	2.067995802	2.154545542	2.065858837	2.121523205	2.148845293	2.095720496
ACTR3B	0.141848034	0.175240156	0.089056321	0.123191961	0.121099522	0.198993689	0.163572214	0.124034694
ACTR5	0.1534609	0.186707585	0.109949526	0.139012582	0.08727925	0.232564524	0.160988988	0.116061835
ACTR6	0.7606428	0.757367297	0.682042751	0.757874254	0.567554495	0.820241921	0.743896505	0.75755264
ACTR8	0.072288482	0.068159636	0.03167762	0.041865709	0.050518228	0.056837288	0.122237391	0.026575822
ACVR1	1.212550683	1.22954355	1.244312879	1.133882304	1.191430241	1.339589728	1.402204355	1.280602001
ACVR1B	0.28871154	0.316683698	0.265758683	0.267998411	0.232837107	0.374184506	0.359713627	0.354324386
ACVR2A	0.799228201	0.810409307	0.754340841	0.751096732	0.783783654	0.880302707	0.921707458	0.854768683
ACVR2B	-0.035064358	-0.044921758	-0.062575685	0.007747684	-0.05251072	-0.002906964	-0.022004761	-0.117638094
ACVRL1	-0.201123687	-0.184349014	-0.165193726	-0.193454757	-0.179846586	-0.119687753	-0.149965016	-0.185659694
ACY1	0.906515601	0.994569141	0.903009849	1.056972701	0.910450745	1.006762408	0.960582292	0.835608346
ACYP1	0.511069168	0.541383915	0.434924732	0.548446408	0.410982068	0.518211321	0.521151742	0.47262506
ACYP2	0.42313544	0.453433007	0.410783884	0.593399201	0.482306552	0.506832717	0.461793178	0.447852186
ADA	0.198400608	0.306471531	0.16629371	0.18798417	0.198015343	0.236311785	0.223338754	0.214214833
ADAM10	1.24285837	1.254112618	1.131647199	1.091498501	1.018201599	1.404580454	1.408699244	1.316080158
ADAM11	-0.121590289	-0.107193306	-0.058851877	-0.08764153	-0.079094132	-0.094233208	-0.083368797	-0.116167153
ADAM12	-0.110098001	-0.097129398	-0.071549259	-0.094447697	-0.105316991	-0.073763774	-0.097829386	-0.101164115
ADAM15	0.847851814	0.87915301	0.807473968	0.851940821	0.852883388	1.042973399	0.987354936	1.009903135
ADAM17	0.823282776	0.78751547	0.721480288	0.648726669	0.680951443	0.936897017	0.907153233	0.855437417
ADAM18	-0.148471325	-0.14488187	-0.090641861	-0.132689036	-0.12600616	-0.099076892	-0.193428779	-0.173455227
ADAM19	0.175855153	0.085890312	0.153119192	0.111384451	0.118138958	0.139483413	0.169826192	0.199506783
ADAM2	-0.206483777	-0.198035549	-0.160562305	-0.130877356	-0.107670986	-0.171301413	-0.211287491	-0.112460578
ADAM20	-0.218748041	-0.121293307	-0.216029791	-0.160977197	-0.229019763	-0.161770063	-0.122029482	-0.168416654
ADAM21	-0.147443563	-0.220732585	-0.081144333	-0.095760845	-0.035747435	-0.041710008	-0.149699345	-0.118100449
ADAM22	-0.195210519	-0.199223106	-0.179838131	-0.211828219	-0.169323764	-0.191305668	-0.148484718	-0.212659858
ADAM23	0.04863054	0.049931455	0.029491083	0.015630939	0.046515919	0.0717107	0.048024779	-0.000413249
ADAM28	-0.169654897	-0.109709843	-0.126377866	-0.14311475	-0.104775571	-0.110806106	-0.136437011	-0.152712447
ADAM29	0.056499546	0.013644342	-0.003565608	-0.131085936	-0.189629468	-0.04478646	0.072161956	-0.058682753
ADAM30	-0.167851774	-0.128836516	-0.116228786	-0.130969846	-0.091871516	-0.108304871	-0.116505371	-0.13727336
ADAM3A	-0.273026866	-0.242518339	-0.205256065	-0.232960312	-0.166110713	-0.204186005	-0.286286522	-0.258841138
ADAM5P	-0.129180752	-0.105849564	-0.10691857	-0.106686374	-0.117528526	-0.124204977	-0.110530693	-0.090225241
ADAM7	-0.207762923	-0.150599067	-0.192210794	-0.227393223	-0.159364541	-0.179251956	-0.220312961	-0.157817467
ADAM8	0.221483789	0.330141036	0.213745224	0.168989655	0.246261338	0.344308828	0.260919243	0.253253407
ADAM9	2.145325734	2.045697331	2.073247327	2.005234851	1.890962872	2.167157527	2.253685998	2.117912524
ADAMDEC1	-0.150521303	-0.147751705	-0.185395399	-0.143195836	-0.175795902	-0.197446357	-0.139054674	-0.177740841
ADAMTS1	2.381300774	2.27960023	2.316168997	2.135282543	2.123526553	2.31070798	2.371444278	2.46944001
ADAMTS12	-0.307496568	-0.272861514	-0.27718845	-0.259510844	-0.236443386	-0.238050932	-0.266003031	-0.223189061
ADAMTS13	-0.118978785	0.043685733	0.091330013	0.087931002	0.093553405	0.102663633	0.062919036	-0.013370402
ADAMTS2	-0.053501804	-0.043338245	-0.099569544	-0.022300728	-0.051095794	-0.039476935	-0.067409326	-0.053022262
ADAMTS3	-0.049355262	-0.049595472	-0.091690319	-0.06647041	-0.06907741	-0.015987422	-0.013754108	-0.050568739
ADAMTS5	1.142588847	1.091549178	0.9383412	0.886330876	0.859704602	1.037192454	1.090156558	1.061272946
ADAMTS6	-0.000295166	-0.002834514	-0.09312029	-0.136929651	-0.204411723	-0.026214066	-0.075562064	-0.106710181
ADAMTS8	-0.195544793	-0.098468268	-0.181235829	-0.109040766	-0.102274903	-0.125651137	-0.126690597	-0.090483848
ADAMTSL2	-0.129368909	-0.130231829	-0.115211737	-0.135491445	-0.101293319	-0.149537757	-0.107148671	-0.142503983
ADAMTSL3	-0.107271557	-0.175215961	-0.27026997	-0.141507824	-0.179677596	-0.189709053	-0.131923915	-0.171760587
ADAP1	0.328449116	0.328320247	0.341259194	0.331877878	0.239527014	0.249967176	0.298190339	0.261136868
ADAP2	-0.090837526	-0.022479229	-0.123385681	-0.06553324	-0.085540803	-0.060137136	-0.047544571	-0.07892065
ADAR	2.019067989	2.034816133	2.036311839	2.019025127	2.00279665	2.000974205	2.03826197	1.981243783
ADARB1	0.238464615	0.263088459	0.197576854	0.213582778	0.158220009	0.24404449	0.202138067	0.2221785
ADARB2	-0.220579435	-0.116101618	-0.12640062	-0.196790404	-0.187930512	-0.160089041	-0.171724123	-0.129751464
ADAT1	0.297874489	0.382315885	0.302224805	0.341169312	0.34320668	0.448567642	0.301368278	0.303270452
ADCK2	0.390122208	0.426719161	0.36261795	0.385493141	0.352723404	0.485799656	0.427767679	0.389678359
ADCK3	0.240844443	0.238882991	0.230522056	0.217856135	0.232825191	0.276637709	0.287119626	0.265634647
ADCY1	-0.130613467	-0.162545726	-0.147639904	-0.120589244	-0.173222375	-0.126164024	-0.138737465	-0.14610088
ADCY10	-0.158236051	-0.096213726	-0.096375455	-0.122951584	-0.159456383	-0.135628381	-0.147788404	-0.151162222
ADCY2	-0.132341087	-0.126997997	-0.140839945	-0.097585924	-0.176494437	-0.128431549	-0.098310313	-0.151039705
ADCY3	0.353938055	0.354110231	0.332773032	0.267411733	0.296524201	0.414629602	0.325570241	0.341033079
ADCY6	0.461970877	0.369457536	0.395353761	0.383019753	0.451468186	0.526494706	0.500911232	0.470839763
ADCY7	0.586670098	0.310311294	0.341835867	0.300197187	0.29406923	0.338805901	0.452832892	0.344346786
ADCY8	-0.128650439	-0.052970075	-0.064672392	-0.160296206	-0.101793335	-0.102607592	-0.111100204	-0.103357712
ADCY9	0.861584213	0.859731546	0.822143031	0.813932412	0.798730138	0.937572716	0.887590472	0.923426608
ADCYAP1	-0.041701218	-0.100464932	-0.147251191	-0.083211219	-0.134759497	-0.079944618	-0.063752545	-0.144670489
ADCYAP1R1	-0.191557138	-0.101286442	-0.135945688	-0.12959166	-0.225264546	-0.208784818	-0.178967574	-0.218207623
ADD1	0.973183732	0.923398105	0.849346266	0.877546194	0.852700154	0.918398755	0.913156079	0.813244704
ADD2	-0.101660365	-0.084675191	-0.023958439	-0.097131124	-0.114152029	-0.068566264	-0.092784542	-0.082709419
ADD3	1.028753111	1.067096391	0.960657612	0.986972317	0.978529114	1.054666396	0.94213498	1.031743775
ADH1A	-0.187643352	-0.115268947	-0.130876503	-0.178615699	-0.125719559	-0.114521252	-0.170486468	-0.111458996
ADH1B	-0.21136394	-0.138769263	-0.199882367	-0.185303982	-0.181659958	-0.133438118	-0.199232022	-0.146281175
ADH1C	-0.208387123	-0.181025287	-0.144309153	-0.214941296	-0.158573516	-0.158266191	-0.181561171	-0.163757956
ADH5	1.859960221	1.839155067	1.733362097	1.907459229	1.849767733	1.760425437	1.805377956	1.804742497
ADH6	-0.134731986	-0.136740967	-0.104126006	-0.127561747	-0.133589406	-0.138825102	-0.114648501	-0.113488023
ADH7	-0.132923541	-0.171652889	-0.125338498	-0.105450154	-0.086916176	-0.090706789	-0.077265888	-0.116547942
ADI1	0.658577041	0.689496282	0.624428706	0.620588231	0.603632954	0.67053403	0.445861607	0.717525439
ADIPOQ	-0.181182147	-0.186468148	-0.189473902	-0.175685726	-0.208241871	-0.167653398	-0.163643525	-0.137749526
ADIPOR1	1.320543306	1.392989286	1.3855605	1.340231155	1.279702791	1.516467112	1.383348286	1.407367008
ADIPOR2	1.52051466	1.366714212	1.264794111	1.457707895	1.323320639	1.517344061	1.416187012	1.42882969
ADK	1.154158777	1.25051997	1.236749327	1.287375974	1.234913668	1.217465307	1.049342209	1.222574874
ADM	1.474573304	1.566853853	1.588619401	1.535482513	1.42590181	1.67629229	1.648065309	1.584308109
ADM2	-0.10845844	0.080107608	-0.005262647	0.020164569	0.073940622	0.065081498	0.102384778	-0.012838092
ADNP	1.676655028	1.721342338	1.585490955	1.652928684	1.671218687	1.761910266	1.678889778	1.676452041
ADNP2	0.541437964	0.537737795	0.486190001	0.50684235	0.552039355	0.585618557	0.537633328	0.49846418
ADO	0.915296579	1.107409709	0.93370097	1.034392981	0.872593539	1.061542223	0.939395543	0.928363434
ADORA1	-0.073788688	-0.043988428	-0.010341995	-0.072108664	-0.082401984	-0.025405436	-0.018541535	-0.012955425
ADORA2A	-0.21637446	-0.123932214	-0.173261438	-0.16157439	-0.106206338	-0.088380416	-0.160529851	-0.138127288
ADORA2B	1.918402897	1.931432777	1.820096698	1.766539521	1.74858074	2.035062975	2.011371864	2.013238933
ADORA3	-0.122110561	-0.13413215	-0.07147474	-0.11990491	-0.159910386	-0.108888667	-0.109047408	-0.109814781
ADPGK	0.785005766	0.923303982	0.730159114	0.843165775	0.784176374	1.085190692	0.992878364	0.923871353
ADPRH	-0.115305651	-0.082120876	-0.098892134	-0.019249813	-0.169444514	-0.07606122	-0.074838275	-0.082022452
ADRA1A	-0.125276162	-0.13892424	-0.14416946	-0.108419895	-0.14418726	-0.105662686	-0.148789033	-0.146624375
ADRA1B	-0.008225562	-0.051918921	-0.144542853	-0.146415328	-0.112971373	-0.062163886	-0.081288142	-0.039347183
ADRA1D	-0.138321131	-0.124030855	-0.110020973	-0.059039319	-0.109827487	-0.097769326	-0.080551663	-0.140329796
ADRA2A	-0.207143996	-0.264005835	-0.182579699	-0.215948107	-0.238923409	-0.232483963	-0.169162601	-0.192589478
