	PI3K-1	PI3K-2	PI3K-4	PI3K-5	PI3K-6	PI3K-7	PI3K-8	PI3K-9	PI3K-10
SAMD11	2.22808092079018	2.45191788236355	2.01788767556071	2.12348572220437	1.736953815642	2.02491499960898	1.51760205738261	1.70778548796424	2.1671084111158
NOC2L	6.81619250008676	6.76025659512628	6.82869372862566	6.68690510032257	6.7401109161582	6.86484552812975	6.61278060484649	6.78788289721864	6.75733497566756
KLHL17	4.53030874878973	4.6428763119809	4.50720796132231	4.25776142782116	4.37298931935163	4.44730985788863	4.16096193436288	4.08504149015955	4.03339506617883
PLEKHN1	2.80137264032919	3.05875870753522	2.55983157539328	3.11912673477622	2.98079440371486	2.27419980593937	2.35110166485447	2.25840180423671	2.54008544625007
PERM1	0.993397161733261	1.67997040972579	1.70274538566362	1.62789633631673	1.4464269475221	1.31273104969158	1.24954969879597	1.38621324695042	1.3953020718921
HES4	8.58020387859705	8.82215837585114	8.62627080364378	8.35174672010875	8.3303945321097	8.50089936663329	8.28389295861474	8.42298816339777	8.59381120946995
ISG15	9.66870342310103	10.6319915668435	9.79747786601615	9.68353443423291	9.66388994771523	9.7936040536729	9.74547871768688	9.54103995582514	9.73327769203047
AGRN	8.18121776490296	8.17265384324378	8.18275512868997	8.18198056061731	8.18391621912309	7.9254187285757	7.68075129420771	7.6535972740998	7.69424507537121
RNF223	1.44137911949568	1.49920605297102	1.75978436709541	1.59033711906387	1.70189198178193	1.7734669916152	0.710314099157391	1.4435044488639	1.17299723695123
C1orf159	5.44281212622742	5.42728559424653	5.49809633420294	5.45968374165271	5.48454669580517	5.45926140737854	4.97356463719876	4.8892094074675	5.24042846850369
LINC01342	0.481926362947876	0	0	0.188358128394532	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	1.97554822532806	1.89481803831639	0	0	0	1.84123423989351	0
TTLL10	0.18488104069566	0.129062770636853	0.208629544941128	0.100463308461728	0.365764912063199	0.132732737850508	0	0	0.378471823805284
TNFRSF18	4.26166606568324	5.07460738421966	4.42545180610464	4.67999498910707	4.30821578430248	4.34685901995224	4.15809030049267	4.21019786889241	4.24713755376455
TNFRSF4	2.22691241959982	1.37374299069471	2.60199583474493	1.60596281586668	2.14893964401517	1.24224053030449	1.92662219936188	1.81748771339803	1.82802638764498
SDF4	9.11963810681085	9.08176728719787	9.04696656045558	9.10008729448689	9.08122570552822	9.00825639764473	8.91877393613689	8.8673092194696	9.00462894395657
B3GALT6	6.12512366986656	6.12299457817215	6.10861398256868	5.9088421646457	5.911242883838	6.10484421314593	5.61653419008861	5.79897708682251	5.9447346992328
FAM132A	3.51845051500217	3.79851292978895	3.83823977563088	3.84938820755647	3.6944987072072	3.31647411713511	3.46428405579035	3.90480318659007	3.44609958168013
UBE2J2	5.91281680034603	5.76100110723906	5.84887228261046	5.99921622458435	5.90651232841825	5.77347029958437	5.57196313141968	5.71092251186843	5.70130333820476
SCNN1D	3.92107153195077	4.50265912494274	4.39819809527459	4.2103607224152	4.12906345562748	4.58527944740961	3.70878104091207	3.93749423458968	3.7898392364649
ACAP3	5.52748205546997	5.541352420766	5.69221794987123	5.59945094733433	5.65768520376522	5.41117452517963	5.04833653252553	5.1053331890438	5.13525655684438
MIR6726	0	0	0	0	0	0	0	0	0
PUSL1	6.77256896246806	6.73228573011305	7.06500909336689	6.90269519185161	6.8051118032623	6.78060372662436	6.59325409538958	6.56288041896795	6.69173224309607
CPSF3L	6.08146141903764	6.27024448070044	6.22307587715324	6.16616608036422	6.14543632410855	6.03757527317511	5.72647377466158	6.01006765394699	5.81829595514499
MIR6727	0	0	0	0	0	0	0	0	0
GLTPD1	5.09849004140887	4.89924807385536	5.05747896627438	5.30695192414767	5.17638430536763	5.01569115488158	4.53184682887107	4.71280708871264	4.76630612514157
TAS1R3	0.322812056377085	0.425764445675678	0.251260441929166	0.234333169689706	0.358702746666573	0.305290917464746	0	0	0
DVL1	7.05178477376858	6.94574739680415	7.14490833154541	7.00379151482142	6.96378730080298	6.91191352247628	6.38244491618212	6.60943741443019	6.69652561981308
MIR6808	0	0	0	0	0	0	0	0	0
MXRA8	6.85658866048159	6.99984715644568	6.86701086597241	6.87904751439047	6.9218863008929	6.69053086922378	6.53710719371099	6.46822471518	6.68628147234813
AURKAIP1	8.11667662698353	8.32360343965778	8.24314620266403	8.18384514893602	8.15013940537949	8.27074538588236	8.06366202820329	8.09460190587487	8.11145832694171
CCNL2	6.46153541389168	6.4662841823389	6.23161857719638	6.33955403476019	6.21157329830452	6.36865276283379	5.91410504813854	6.12251987487055	6.08227246168568
LOC148413	3.79169895629529	3.25450544736897	3.56827672895661	3.41711661880784	3.65197973334274	3.88755617819237	3.57155158887601	3.45089899925682	2.99645092730793
MRPL20	7.40907982334855	7.44605595015419	7.60688155189099	7.58397715383802	7.44249994981721	7.61464460927474	7.73441704249202	7.68884572721736	7.69011081450105
ANKRD65	3.45332518284004	3.92221262532043	3.55726295062536	3.58678364430978	3.67590433205272	3.56893623115031	3.04829034879302	3.26414687813754	3.65088770978397
TMEM88B	0	0	0	0	0	0	0	0	0
VWA1	7.20999712266694	7.13600896500561	7.18762363569775	7.15262374512219	7.20014745202938	7.04647191028268	6.78040449358648	6.8037666333295	6.87022687042031
ATAD3C	3.21947313805751	3.33708487090064	3.19174329311059	2.97115061364594	3.09323429478789	3.30856510830703	2.72476845095112	3.22247507423802	3.09420811292106
ATAD3B	7.65429314904692	7.49736126058146	7.66106306666745	7.54443782505997	7.50508089334355	7.66721077962678	7.0879771377916	7.33119383281057	7.48487183846488
ATAD3A	7.23518970478838	7.29421436518737	7.46368307095331	7.35429441770406	7.35716850186738	7.29639624469791	6.91911941183217	6.96098815953482	6.96059498195646
TMEM240	2.7538069998464	2.70158138265475	2.47933191036755	2.44478350231838	2.66335865208249	2.25680983963237	2.56048527239887	2.48714717657109	2.59494339368646
SSU72	8.56505449136222	8.574558475539	8.6284124474918	8.36652346685012	8.37905277378156	8.6512183034476	8.52792907985923	8.61395630209802	8.60591327112856
C1orf233	7.05069532227293	7.21803016519813	7.16851660109886	7.08659794070273	7.09415493387255	6.94556446063035	6.51282275606544	6.80535480539977	6.79251519787341
MIB2	6.00990437407593	6.0473448971769	6.02285975136151	6.00878401623719	5.95152067434141	5.87964552114101	5.33663684325315	5.41591871927075	5.52271189141716
MMP23B	0.427612241806542	0.305849416145491	0	0.62848683093011	0	0	0	0	0.648644193285113
MMP23A	0.160982506095016	0.404033696001959	0.18185058527979	0.320852913717889	0.583326073754804	0.414484353755655	0.33640818902067	0.559046355252961	0.829424719490098
CDK11B	4.94272685596674	5.1851758157646	5.14594417058707	5.07430138630837	5.07723209420501	5.13008867516147	4.83049688416706	4.79703013992379	4.81119601292743
SLC35E2B	3.49319120118473	3.30636731462904	3.46051378386857	3.72956101562379	3.72616740332014	3.45361548372837	3.29555554206398	3.43521650035474	3.08601155397438
CDK11A	3.81023763727953	3.54852801692757	3.74594445788161	3.7315674575381	3.60938314005346	3.79241609760596	3.40603063908415	3.30685084871392	3.71673757036752
SLC35E2	1.96424181245169	1.89870062513222	2.13836090340436	1.91961004639296	2.21347407108775	1.89814840137175	2.02323329229649	1.73170535386515	1.51857777920434
NADK	5.77222966252356	5.70229851936819	5.88976272752791	5.79350789521446	5.69985147372027	5.73610697745924	5.48002361155307	5.56902039823492	5.52972794580605
GNB1	8.30940497133174	8.17473777299731	8.3448672801167	8.36794151646314	8.35240095197952	8.32576391813977	8.29124381089423	8.32971258333624	8.25300262264546
CALML6	1.35289912886115	0.84629534091492	1.21818722556093	1.01776436247576	1.48758788208807	0.865227189603618	1.44825840653887	1.11663542846958	1.54502681772504
TMEM52	3.95543240612922	3.4304308834844	3.82911903095509	3.67553020252104	3.40783402976367	3.95222253145411	3.20096100531793	3.60764009210707	3.55791292008856
KIAA1751	0.0640754302747676	0	0	0.0675148770316427	0.0542796193278812	0.0895260542281231	0.138852833825579	0	0
GABRD	0	0.816046578888606	0.814520160070604	0.66550218129627	0.883063706054467	0.834478877444486	0.991879967073633	0.290136538594211	0.791911655543098
PRKCZ	3.71781959351628	3.4450227341767	3.73693950726579	3.65301818120762	3.92536635665293	3.37873440100305	3.42444026786815	3.52540647321847	3.37485648649978
C1orf86	4.42606656685856	4.73952414714935	4.64511110286929	4.48109115168895	4.48611871953451	4.48481428974757	4.30870291704936	4.2710075973453	4.39241154954388
SKI	4.81050538002838	4.61468576663272	4.91526399095531	4.92309586409994	4.88467292412622	4.74614960697268	4.53214912949704	4.72225906773305	4.48943780499126
MORN1	2.04557845664093	1.65135685735449	2.36553197151316	1.95893199825061	1.94903752651454	2.70322433768107	1.66666916449144	1.8532264330792	1.83746855206771
LOC100129534	0.816577137970794	1.03003145183509	1.26764399963007	1.63598619103138	1.5097513529297	1.05177937703929	0.965353958881043	1.28132592626408	0.875813488080609
RER1	7.26276799697571	7.16154014057918	7.31944807920666	7.30537114389754	7.33550136032877	7.40222207611838	7.32307253410736	7.36674548305031	7.36932318983849
PEX10	3.92910271390488	4.04706218868971	4.49045945062044	4.18513622979549	4.11846038915019	4.37663165691151	4.30004618480778	4.03589509587512	4.02445688769655
PLCH2	3.20560476315417	3.14892005391602	2.79458465528342	3.25358666583256	3.13795776844145	2.58187487981487	2.63551364301009	2.52176260209196	2.59577280418717
PANK4	4.22109390920646	4.30237838302042	4.23128181074338	4.22343120063586	4.35614939425704	4.34257748427254	3.91154776403803	4.24911649909908	4.25686601619273
HES5	1.39936377674051	0.291853823030641	0.640767854437372	0.757993742733893	0.186845848395115	0.299696982316033	0.789696218693288	0.219298543864685	0.44290298022594
LOC115110	0.472311968698071	0.339270398469564	0.633174800701048	0.268202370441485	0.575791123492789	0.86316369889847	0.281446942975453	0.74795519475259	0.711352984659876
LOC100133445	0.73670536783153	1.14814533569772	1.71147619564652	1.26661164428248	0.954278472538824	0.701544548468607	0.579306393311417	0.531349694130193	0.314594976688256
TNFRSF14	4.29881053876653	4.48898121908406	4.53970760376366	4.15368899250664	4.23947532334553	4.15310241985278	4.21508395866567	4.06259279785527	3.84213314966234
FAM213B	6.14165662007963	6.17425038762423	6.13935437183427	6.24681107299094	6.09002129057141	6.03643149668584	5.84968815333518	5.89765901115292	5.92653963249471
MMEL1	0.372769366743371	0.381515786495207	0.116205358777062	0.62696448973181	0.752321100225992	0.142618101502591	0.40919517666575	0.529357177270685	0
TTC34	0.164154260649057	0.411360639877718	0.185407707531678	0.593135028299264	0.384284129924991	0.4219744970116	0	0.164516275736438	0.481904817146172
ACTRT2	0.202166190022061	0	0	0	0	0	0	0	0
LINC00982	0.637732924373896	0.685963591778827	0.590790389728533	0.496204050873557	0.600480761134888	0.76998993581473	0.638282347579959	0.475111456108575	0.631160569474263
PRDM16	1.4803117199493	2.27108262499773	2.29477732268822	1.35171144480578	1.31646188585286	1.27339010911121	1.19026543215951	1.05760702407345	1.24603695133135
MIR4251	0	0	0	0	0	0	0	0	0
ARHGEF16	3.89931157736005	3.60792805656252	3.87411457206998	3.8288252974471	3.78113096114791	3.62269827173338	3.44804168134628	3.39562282758025	3.74012855796298
MEGF6	5.78814884530455	5.70737625842375	5.91390972548628	5.91779174899487	5.97336144873805	5.60732335650673	5.48082212118665	5.38680996793902	5.54746876953599
MIR551A	0	0	0	0	0	0	0	0	0
TPRG1L	5.92284855084293	5.85967605030213	5.99516401875106	6.04420280540074	6.10711923282279	5.92506701069253	5.95135339299265	5.97154544204451	5.99646170162347
WRAP73	5.45719308849911	5.37511127320726	5.56743535208301	5.56538938935539	5.44697051597832	5.50929188156967	5.34449662164705	5.43124208638928	5.27440024762949
TP73	4.36462284564565	4.2093973977631	4.4841213296175	4.33090263073863	4.22435722840534	4.21168796018171	4.11518343163017	3.95617700139363	4.18326544371503
TP73-AS1	3.39830141104221	3.21746626970103	3.43358669343814	3.4998740129236	3.5259308808062	3.44669350121366	3.2722968378476	3.30281584063778	3.2210144607969
CCDC27	0	0	0	0	0.115120099748615	0.187389530006296	0.28555761333043	0.259715451371885	0.281984898802956
SMIM1	1.0840055040084	2.34717121069973	0.510777190185883	1.364719322453	1.81608320329766	2.3812666630698	1.96590443150999	1.52149214125065	1.60764045840008
LRRC47	6.28059089747109	6.14971564402751	6.33941808769949	6.24776657893648	6.20620615000852	6.18919256208985	6.06888401926125	6.05358828820753	6.14803059915563
CEP104	4.26681361385952	4.03307751635909	4.48361256541004	4.26339897209981	4.38801558298327	4.1733337102541	4.25190478994479	4.13476075850551	4.1962500909028
DFFB	2.7291792333362	2.21019972473187	2.48504762287235	2.75071586374005	2.31345407824664	2.52671584384029	2.58747937606715	2.17605192530028	2.29986153220247
C1orf174	3.96687844250161	3.31671316160193	4.3834318007263	3.88905414383898	4.01570319393456	4.28254689630556	3.93368117154425	3.75309394794912	3.96789056763176
LINC01134	0.729000419536752	0.926049187518336	0.169544210569381	0.300071270403371	0.720353052260437	0.207238038320973	0.449600262256222	0.286496585031063	0.444269958594994
LINC01346	0	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0	0
AJAP1	3.13798407520875	2.99531051152739	3.14604790286371	3.03759404681624	3.12610534671976	3.03238566920369	2.99234781645428	2.88735257286221	2.96182860489055
MIR4417	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0
NPHP4	3.558252253364	3.84666580794748	3.75344092253011	3.57104445248057	3.63701562128363	3.39199496762611	3.39323503778578	3.42802382802025	3.23979736238153
KCNAB2	3.5205475588531	3.55841397664296	3.59912386353408	3.58645300778371	3.65939822050507	3.3380095826017	3.14582610408669	3.12845953867303	3.42486843576586
CHD5	1.21920306038125	1.02170292788398	1.37129781060204	1.42298010502457	1.12257630593839	1.0433309258327	1.02441245445862	1.09192862233527	0.943175131087164
RPL22	7.24416861718916	7.15263503672008	7.15835045954028	7.21131096342243	7.30322340682291	7.231220534467	7.36014097306244	7.39141306159543	7.16579957306627
RNF207	3.45487147900702	3.75870726742657	3.37557176352678	3.33516459272032	3.45406589465026	3.05132630782051	3.06515713136923	3.21113557100925	3.20375392423419
ICMT	7.44284923163309	7.4631118339501	7.43367456364576	7.44394087661737	7.4786351325725	7.44890376048654	7.43921133358544	7.37328608553828	7.29410581538996
LINC00337	0.833961814537432	0.440526155809321	0	0.185987422575479	0.731767384209699	0.633749188006414	0.367540108715963	0.725668400617781	0.515240342293666
HES3	0	0.506009467191939	0	0	0	0	0	0	0
GPR153	5.0790976827057	5.06281746813674	5.06864604664825	5.08287662064089	5.09131056237102	4.90482127017857	4.67788838037667	4.68587102780649	4.88321663379038
ACOT7	6.89167366639398	7.08302815438756	6.90945953596606	6.90252250879766	6.91568889073175	6.78536168462852	6.83838015601074	6.89283052710051	6.88479501682891
HES2	2.67190333037104	2.53893987816573	3.0153330728503	2.80440860959397	2.89595477660278	2.79614057483061	2.743465564007	2.70845622328581	2.75027849729247
ESPN	4.53429923783299	4.7525714862165	4.90135286046652	4.68907502334105	4.53896869541988	4.40865053295856	4.41154968615742	4.45604595998809	4.22828438158655
MIR4252	0	0	0	0	0	0	0	0	0
TNFRSF25	3.23053818843026	3.56899412547925	3.4495800475029	3.5233594016357	3.33087773497131	3.42931598894489	2.82664734100234	3.06988419144226	2.97616420830505
PLEKHG5	3.01777926079766	2.93389572744245	3.10973872628036	3.12351179920241	3.28749516180199	3.00729515093374	2.7471691331574	2.94905510990141	2.84461832277836
NOL9	3.26850172703308	3.26874196791332	3.21237510725402	2.95560780883726	3.07017774497611	3.22590097314784	3.02864075070311	3.18295052161042	2.94714044052336
TAS1R1	0.298180054766474	0.143740990884365	0.120473240049941	0.112013760069004	0.255595859713516	0.147807368054648	0.328117861586482	0.620084763690251	0.588530558949415
ZBTB48	2.65060847838828	2.97329258665169	2.55296944901558	2.60626927060327	2.44809765296528	2.64636015949181	2.47404414831623	2.37762846377356	2.34875374228042
KLHL21	5.92779740438269	5.91615510781394	5.93587633546408	5.87859787862933	5.8566888153482	5.79094658349973	5.61902725636035	5.65830469666559	5.5227325540803
PHF13	4.30931009319767	4.08385714782059	4.21542088946749	4.39959232508435	4.21078751713145	4.24744302809512	4.03820794792512	4.19777426145785	4.0251017208122
THAP3	3.23585436007793	3.34525190263614	3.22562486297778	3.33789531582062	3.27633617912723	3.15604422822379	2.96434115567819	3.34509679570775	3.21568117755066
DNAJC11	5.53013613829742	5.32965319752505	5.68408465284279	5.38686372040492	5.58156414000015	5.59791176630613	5.40106945772661	5.5734279484797	5.4252562564833
LOC100505887	0	0	0	0	0	0	0	0	0
CAMTA1	3.81404752622699	3.86744070048834	3.78347755288177	3.79530291470671	3.65467471742977	3.84301811650851	3.76387522219665	3.82424567351206	3.72066621661185
VAMP3	6.88964599735331	6.56816502578447	6.88016707793693	6.92788916947113	6.85879958787356	6.93103324316522	6.94547880396388	6.92334689314946	6.87421321446258
PER3	3.97925725624709	3.6289720731181	3.73878691652652	3.95634808473002	3.86247076587868	4.13921482624218	3.8380230318612	4.06864608440283	3.76976361740035
UTS2	0	0	0	0.377270958453278	0.309390163211924	0	0.395206580892444	0	0
TNFRSF9	1.69982265097662	1.11945803708489	1.41430657784889	1.78553606767032	1.42622020291951	1.3273687059489	1.47846135137566	1.30263841632085	1.48597348542122
PARK7	9.02686828489084	9.03977199994515	9.07754698739717	9.1192016447897	9.05335195969438	9.17500206871123	9.23094572122844	9.18809582141822	9.15026996750235
ERRFI1	4.78621316349611	4.00601691183462	4.86215297630547	4.80962746581355	4.84308969602262	4.67115692096843	4.44350491456682	4.68572330067406	4.3573879461681
SLC45A1	1.51714398866935	1.25732730615618	1.64118184626943	1.5236925124131	1.74770386684854	1.13307717435122	1.21296659989305	1.07243619750762	0.801446318924904
RERE	4.06012908074313	4.14407606056855	4.04222703723947	4.11934052025352	4.17629144427028	4.03891154058666	3.91613682663519	4.11569336619451	3.93518437512782
ENO1	10.1638043867713	10.4380983914221	10.227730940322	10.1193123607963	10.1266745946916	10.2340592016782	10.1429304041333	10.2129879430422	10.3247493880298
MIR6728	0	0	0	0	0	0	0	0	0
ENO1-AS1	0	1.20982770576785	0	0.59067947467638	0	0	0	0	0
CA6	2.21884952732107	1.84878482534998	2.05703589942675	1.85683316989701	2.07357369648555	2.03267550456093	2.1946556261558	1.74191992799096	1.54826412217799
SLC2A7	0	0	0	0	0	0	0	0	0
SLC2A5	1.1850299413587	1.15754348267285	1.24133846692631	1.12801936192178	0.914965919603927	1.24672595555937	1.77262074882327	0.982775854987441	0.990052208356644
GPR157	1.91944928219139	2.47803083326841	2.2630782494983	1.35935169547396	2.10065351047372	1.36128704218917	1.70923456419188	1.84932993158832	1.69537439189635
MIR34A	1.5580605693998	0	1.6838820185762	2.35130096606761	2.56681793679488	1.90351836842645	1.66126847552861	1.56028206169745	2.39679193275625
H6PD	3.88450326631174	3.83171753301644	3.94346444841266	4.06313910205972	3.98827201203675	3.84200644532847	3.7546791419882	3.71583654137056	3.60455080050755
SPSB1	4.3225822209293	4.20002670974205	4.32589366292933	4.19966325463162	4.32629664317078	3.95521240089371	4.03728350997326	4.24434429580877	4.02518714782611
LOC100506022	0.233243335546432	0.310589517664924	0	0.245028183020998	0.199299695737847	0	0.475457684633138	0.611316049447652	0.253978792382645
SLC25A33	4.10864119617578	4.02079737461461	3.87402989533721	3.8205397375119	4.16459236473412	4.51585261798276	3.82688967322883	3.99716254390014	4.05127524654306
TMEM201	5.48165859119267	5.47014271480529	5.52427490452346	5.3396728813377	5.32108023690328	5.34481155606404	5.03501822864358	5.22665731952628	5.27147385864795
PIK3CD	3.55489524626319	2.97686285457357	3.1925897390962	3.62077194391102	3.4912951423745	3.45615839028876	3.02204964038399	3.20195689193788	3.20778550187688
C1orf200	0	0	0.180819268293446	0	0	0	0	0	0
CLSTN1	8.61219111532643	8.54697190339863	8.52689019302239	8.60487094573831	8.62164135225272	8.34847166704105	8.37002960846368	8.32528612351335	8.35048125552941
CTNNBIP1	4.24233352485355	4.5173067537937	4.43589558896941	4.39517218894191	4.30830725862479	4.56395277541599	4.36052824431603	4.46248014374224	4.41221737621818
LZIC	4.8414252378475	4.60342814521978	4.79784522558742	4.77941172389521	4.90719571465226	4.96430557887424	5.13579078708752	5.32777314780845	4.82530031184025
NMNAT1	3.34551966511558	3.00854745219958	3.2279549436183	3.40718212395447	3.39946765196379	3.44480902751253	3.45184927216751	3.40370285347994	3.46644936840831
RBP7	6.23760224392372	6.48408946777655	6.12416975885188	6.12014820238555	6.075613766821	6.42906218754252	6.52058990126533	6.13066552388338	6.31854669405638
UBE4B	4.06959919969898	3.5247521664432	4.0358604500669	4.20967588905912	4.19809820245992	4.00714264867891	4.00494105347974	4.0347455433738	3.52819134639441
KIF1B	3.42621079749202	3.08679232166515	3.32376749236222	3.43379314974098	3.44620775693356	3.52426365883181	3.33294336428644	3.50946025099296	3.15090429949502
PGD	8.19192572998289	8.30880273196635	8.23709246322706	8.29582715387246	8.29661558890752	8.18958354301572	8.28259888499242	8.16944042578002	8.24950680584304
APITD1-CORT	0.136773795643559	0.6271684434446	1.0132804623103	0	0.223925137811535	0.189267334582066	0.288325144723656	0.262254658768769	0.284721109327633
APITD1	2.68022811023054	3.29188294419002	2.86479043457578	2.82037770833356	3.07403441098749	2.93971120234287	3.06969357859769	2.95935181136659	2.91691836573098
CORT	0.605297149036134	1.65115712244589	0.480765672555367	0.632206913747561	0.197483967788858	0	1.34835468012742	1.25903497201365	0
DFFA	5.15166967544003	5.20222820134197	5.23496643076475	5.23947650091295	5.21275674514265	5.30308077670062	5.25416546619553	5.18281309584127	5.27904165295849
PEX14	5.42562923565336	5.48498771226255	5.44600010673162	5.21736359687964	5.30850454192042	5.37675429535936	5.19288114875268	5.1725616509874	5.24469157881789
CASZ1	2.61501185757541	2.82645952181082	2.69236643941478	2.67986128549901	2.464082828065	2.71581775822533	2.33939257895853	2.56380802963955	2.21672080569314
C1orf127	0.207825901576325	0	0	0	0.0914022251319714	0	0	0	0
TARDBP	6.4256415583755	6.06386852379923	6.36440236928995	6.30119711771347	6.26778474287372	6.35278035778096	6.04307413821375	6.35741187508938	6.25543272360207
MASP2	1.82360399742057	2.30018782382379	1.81441843344888	2.28957951461123	2.26422032234164	2.15853553354224	2.21566230690829	2.37514300554202	2.40971498359175
SRM	8.63317379796183	8.75894350235861	8.78398464803387	8.55764906330779	8.59086352210336	8.63832631967613	8.3831394224351	8.56262171199837	8.63274865066084
EXOSC10	6.02430257719293	5.85433097917208	6.16516364511614	6.07301071840053	6.04809878124655	6.00371112655189	5.95681488880173	6.13656729759956	6.02864427594899
MTOR	5.06750733619413	4.97298814948401	5.12274396529168	5.16132286002794	5.11666288588151	5.16475198459697	5.12158879130788	5.0290331550217	5.05158026319726
MTOR-AS1	0	0	0	0	0.328588740283816	0	0.419002448130259	0.684704694049365	0.997894540751054
ANGPTL7	0.457994064072939	0.468436013029544	0.614931905528856	0.259519263314252	0.306346945403847	0.729772510598153	0.952387469610799	0.247625237363904	0.268951528427579
UBIAD1	4.84831172279809	4.81590893042058	4.84362677031422	4.73825350209418	4.74669433957911	4.9288679294369	4.77799797237511	4.90339220196301	4.83860279658057
PTCHD2	0.269181829236997	0.292360498660363	0.552730525984523	0.474576543820045	0.60361184086449	0.300215907743173	0.448958035038457	0.364957825796481	0.5360852382519
LOC101929181	0	0.296373989546925	0	0	0	0	0	0.222780149528912	0
FBXO2	7.17052263377788	7.54509213417279	7.1987921010247	7.19111409738474	7.18663520187539	7.07845147489361	7.07845013710111	7.01838478068177	7.20490975929261
FBXO44	4.35955451787788	4.51317422678307	4.45818197856864	4.4071879986062	4.56882076394522	4.49470096596684	4.26405807578344	4.34560131134821	4.40314602535289
FBXO6	4.8178277179726	5.30611436665634	4.89519944384548	4.74336040321946	4.83943882654145	5.03256301822383	4.72777550301286	4.85596700529556	4.83642307680327
MAD2L2	6.84193255617722	7.15765216254485	7.02689704073361	6.99539214139922	6.96752980986545	7.1288841094047	6.77335761238217	6.84120873378404	7.03002604830726
DRAXIN	2.08997732917939	2.26260892193447	2.355802659326	1.82597869433386	1.6502562422286	2.19266868562335	2.0774579462873	1.91888574641043	2.35125576083555
AGTRAP	6.4356519809711	6.61803055292044	6.58910860680182	6.63732536993769	6.62804817642745	6.51508602456511	6.513123556033	6.49363291847489	6.3899058159231
C1orf167	0	0	0	0	0	0	0	0	0
MTHFR	1.40349220893689	1.28296821069321	1.60534694411761	1.80457630082664	1.63053916424099	1.55579547545791	1.35838254690888	1.71324058354897	1.30847677351365
CLCN6	2.43881755880705	2.3370581760677	2.34878961663511	2.16315540197575	2.56162634822753	2.19919832745729	2.48157785653031	2.11869145597248	2.45439159888182
NPPA-AS1	0.471039062172423	0.435492298367192	0	0.346585815645523	0	0.240534348724546	0	0	0.190530769604861
NPPA	0.585871096650945	1.0205173763136	0.891502390603018	0.612087393487533	0.508847220879097	0.43625539039317	0.354564406394961	0.586994234764979	0.631825533510621
NPPB	4.9269194909881	3.67201953718282	4.96995039558252	4.18065404937305	4.0004982480765	5.06178050454451	4.57518962517393	5.12053369890218	5.50380965603298
KIAA2013	7.33795675185932	7.25309248908736	7.3716324599303	7.29785834448927	7.32331804389063	7.24013288403022	7.01805656508306	7.12600210949028	7.15029717967972
PLOD1	9.20782981480053	9.09904676461325	9.07564154042382	9.16631030435174	9.19462386706065	8.97896652150575	9.04275341698476	8.95341601414707	9.06301366313451
MFN2	6.94598115620481	6.81305839702143	6.99933348796852	6.89791882106322	6.92533026512416	6.88285353396074	6.7735510910541	6.79527917973304	6.74295461635087
