	GFP-1	GFP-2	GFP-3	GFP-4	GFP-7	GFP-8
GLTPD1	5.37718739402457	5.3591964822071	5.27119340357974	5.33662776916893	4.68251130893628	5.20302991197982
TAS1R3	0.288957995296902	0.568049561317166	0.774942298881243	0.446120974375377	0.214904256261896	0.398975325920108
DVL1	6.40915812369021	6.43043460160531	6.28089826924821	6.25698746681334	5.79797798379808	6.21578521998042
MIR6808	0	0	0	0	0	0
MXRA8	5.86619309596081	6.34643718704977	6.20798768063289	6.06375704192338	6.23448546907004	6.22389717419368
AURKAIP1	7.45449794415204	7.4588887561393	7.5439989172943	7.19180457917433	7.17815353100107	7.32762538515056
CCNL2	6.58177255375528	6.97355453648774	7.05999377124013	7.05953572759259	6.24322087489481	6.6310196359543
LOC148413	4.20551833716537	3.85893978481519	4.03170643521845	3.99639288036726	3.56278615024346	3.93272947106272
MRPL20	6.93262737437392	7.06011748229607	7.00960372727861	6.94198227667936	6.88965262698057	6.87173202151363
ANKRD65	2.26860341579115	2.36579623898486	2.67721206138665	2.58301582104191	2.94264948275549	2.06984401664048
TMEM88B	0	0	0	0	0	0
VWA1	5.17065411396181	5.02553418701865	4.77767975252541	4.75457516234622	4.90390963521894	4.79554160580604
ATAD3C	2.1437141166393	1.97075218259	1.99514559640384	1.90280646844325	1.77161372764214	1.63808536850968
ATAD3B	5.79494324171246	6.09398379674751	5.95756271363213	5.8847334199301	5.26700697731341	5.70778944031078
ATAD3A	5.40232064622864	5.69200869064063	5.44887883393738	5.44678509155025	5.25160440495872	5.3845917098573
TMEM240	1.33577564422413	1.16581988028241	0.747441000617402	0.997267506461851	0.986451111152766	1.01561607263186
SSU72	7.64956534127894	7.74532052633242	7.76622824274379	7.56784830122348	7.51004625635449	7.65970615196371
C1orf233	3.74717276367079	3.99319765681323	3.45223101197296	3.30422391328164	3.70074230847091	3.43751974360243
MIB2	4.9638337233811	5.26622895040277	5.12699008196696	4.97547536166621	4.52147970900358	4.85623141215929
MMP23B	0	0.320709062114827	0	0	0.151203876719509	0.178220821550016
MMP23A	0.393061867618279	0.820988770314873	0.504316430678655	0.941984814603459	0.462655432425178	0.622820752081846
CDK11B	4.65220406898605	4.84313088945115	4.64727591841527	4.62747568286964	4.44147485842687	4.51702764590031
SLC35E2B	4.19551773662094	4.09636235686537	3.80383641108789	3.94607183353836	3.68049861063877	3.82306338952206
CDK11A	4.01571317935733	4.06066848845377	3.85876947938746	4.10156981890501	3.63485355060831	3.90348352039141
SLC35E2	2.48743229826239	2.67187825661134	2.56689987863275	2.53696419667838	2.20912069647888	2.34737215328519
NADK	5.57784733327085	5.75083469458026	5.61720576540894	5.49522838977502	5.17702904322316	5.43708492389057
GNB1	8.62710579390191	8.81694817109483	8.75983050383446	8.56343078847761	8.69548986573272	8.68893371903561
CALML6	1.27345934001453	0.356564341524496	0.973903535070598	1.00769267284044	0.457685848701419	0.917261266661679
TMEM52	0.671163356154528	1.29278717652085	0.212002828650704	0.472161315681491	1.28108480890986	0.422648019999346
KIAA1751	0	0.0465186208303024	0	0	0	0
GABRD	0.10258877129037	0.214571080855525	0	0	0.0991961962919481	0
PRKCZ	3.44710783462224	3.75831454751223	3.39983743567106	3.75152245820265	3.35838899188435	3.50156473711763
C1orf86	3.2170304934209	3.85234008039105	3.5367647313408	3.04750761439587	3.32113892264644	3.2914808437422
SKI	5.90665057732877	6.16869931197274	5.85922886735702	5.84336392946476	5.70690279414448	5.80282335121899
MORN1	1.0267547745474	1.70369303957879	1.68610488089388	1.6013730000865	1.50430639310273	0.843867448248281
LOC100129534	1.05161963662249	0.81167567997938	1.31271556535097	0.867903944465567	0.791935216890307	1.01106816969949
RER1	6.65433606898509	6.87290989417639	6.71307864092541	6.9306489784888	6.92330903639809	6.89771118752471
PEX10	3.65079142496235	3.84006407901612	3.34194976564082	3.71824664065433	3.54054172840709	3.65032843563107
PLCH2	4.73997987708129	4.93752174514273	4.80540582739897	4.96941891018595	4.64994623623596	5.00505442343087
PANK4	4.45915675698926	4.51036888254066	4.51168359195455	4.46331430321691	4.36479428097695	4.75716805012723
HES5	0.902290822003509	1.40846467620321	1.45508685890291	1.5089867620971	1.53027621904457	0.999092429911143
LOC115110	1.88650359143332	1.56383801375016	1.40467827283785	1.78021249973688	1.38552368269062	1.7172485891379
LOC100133445	1.86859357121397	1.76728797817472	1.27337189876408	1.72729077729272	0.890387824917879	1.1277413948247
TNFRSF14	5.53361614076631	5.37613431043469	5.31310534588602	5.40664381861913	5.36867577684215	5.42478133825232
FAM213B	4.2722183398671	4.1809423548745	3.89112101771854	3.82041480365471	3.67428492165428	3.79783590364782
MMEL1	0.574215471441448	0.213574538385978	0.393455223081041	0.25305154096239	0.0665561505176574	0.0788605805609939
TTC34	0	0.334414396661984	0	0	0	0.12678279926721
ACTRT2	0	0	0	0	0	0
LINC00982	0.288311368416728	0	0.161213941863604	0.132766386887164	0.32105896020736	0.117352680461159
PRDM16	0.708663413336263	0.741898287594667	0.485270139212195	0.730400510870156	0.632040463629398	0.515915379049181
MIR4251	0	0	0	0	0	0
ARHGEF16	3.41588198018317	3.19090486095886	3.1766211123907	3.56766015654715	2.98835080374818	3.00326173407656
MEGF6	4.87945597536757	5.01107968051644	4.65403651703508	4.64866102826751	4.51259636355629	4.60538724121152
MIR551A	0	0	0	0	0	0
TPRG1L	5.93013286619316	5.88416735876485	5.84980531672396	5.8466936595928	5.91758552844154	5.85048706708998
WRAP73	5.03257008280094	5.32093398999476	5.06563014821287	5.35587632522773	4.65957905601846	5.05503365069139
TP73	0.238593258339839	1.27828279362532	0.380823661455701	0.343337707937254	0.882545765993378	0.122446295464072
TP73-AS1	2.5823283465259	2.68968051672382	2.56316217506606	2.76022960847759	2.34352690505138	2.51686487442098
CCDC27	0	0	0.0972799965230895	0	0	0
SMIM1	1.16217954387802	1.38746316535414	1.51226597720953	0.40454200428644	0.780187986240264	0.890358759465033
LRRC47	6.26322431336674	6.34657627718477	6.19294699053366	6.27839728883326	6.1749203287472	6.32964138749981
CEP104	4.33314466851318	4.44578599771197	4.26468829980331	4.28712045598532	4.19140881592423	4.46144291936606
DFFB	2.2565568945478	2.45764089798591	2.436858468158	2.34425591063398	2.26871295359782	2.25913368344984
C1orf174	4.35159280422109	4.11315030791757	4.27701267346223	4.26729428224159	4.32769333747246	4.2410369128297
LINC01134	0.284557905993105	0.10978899448259	0.302247157118688	0.130945804833914	0.275693564789858	0
LINC01346	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0.109178170769892
AJAP1	3.11368376119992	3.39128010413097	3.17002985180313	3.65236146679617	3.19829787354718	3.67218401213561
MIR4417	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	2.41015690002771	2.45221919527497	1.65820844162499	1.90195855353454	2.0207419343829	2.09987338242904
KCNAB2	1.5468649039171	1.93151883599057	1.45323931345387	1.50382689778365	1.75683298240363	1.75640875857884
CHD5	0.25200654382726	0.132033169453434	0.26785459918938	0.206073208442919	0.261242464582398	0.22494278973933
RPL22	6.75439834712764	6.72549089179705	6.8460434997637	6.6477309249596	6.6678157290891	6.63366362925981
RNF207	2.716620530813	3.18341907026391	3.117012778659	3.26907285114424	2.34239906519691	2.91233489354355
ICMT	5.53618019305456	5.83694861244727	5.38384465429041	5.62016078964661	5.69866032051796	5.56136848860992
LINC00337	0.11969576848962	0	0.353213146033075	0	0.222917228023032	0
HES3	0	0	0	0	0	0
GPR153	3.5617861324801	3.9347659104583	3.49704719065754	3.66409275362554	3.4286230009507	3.67163879789873
ACOT7	6.2183651801451	6.29394873652439	6.31786525126272	6.32664455330577	6.33587448033554	6.38626653001344
HES2	4.91040801655786	4.59838167066515	4.4241657886246	4.58678821273344	3.963662755898	4.56657920618059
ESPN	2.70142028797652	2.67276897831211	2.20400535551128	2.36440248892285	1.92366011541438	2.76936480539472
MIR4252	0	0	0	0	0	0
TNFRSF25	4.03785846729093	4.25344905682095	4.24148899644103	4.32903876337052	3.42501926493203	4.20727721082252
PLEKHG5	3.28955544202911	3.6797955628051	3.32610542821083	3.71763510853386	3.22704396652031	3.47802765797727
NOL9	3.16826720846629	3.31066477528038	3.21244056085751	3.33100397893998	3.07211675940479	3.18413356646137
TAS1R1	0.0714308184579059	0	0	0	0.0690440707415488	0
ZBTB48	4.11771632373012	4.20715793533066	4.03194738639334	4.03469206396681	3.55188045680004	4.18637506492545
KLHL21	6.82126818740209	6.90462767709803	6.61367168954533	6.77096580395145	6.4381991228092	6.61179346686631
PHF13	5.03114528907604	5.04275553063259	4.62507854206757	4.9241296132033	4.6591776168843	4.80793266233697
THAP3	3.37241213688805	3.24261914111635	3.39803552096297	3.38168122091955	2.96773591241887	3.17146255129358
DNAJC11	4.72582432455506	4.90526097328413	4.58650130642855	4.74083535028323	4.59547900338627	4.62161021975398
LOC100505887	0	0	0	0	0	0
CAMTA1	3.24517663347092	3.46499646849671	3.50965382963278	3.17814251802585	3.21415873964838	3.29786443563292
VAMP3	6.79385442419263	6.98864226550203	7.01186681814524	6.73776826209532	6.97966499991668	6.88508512976014
PER3	1.83875807590005	2.57403254555536	1.89951407961091	1.88787801159281	2.37997446709842	1.88999814556013
UTS2	0	0	0	0	0	0
TNFRSF9	0.333878980184915	0.694303286434561	0.516184090489792	0.550109556559154	0.733798057437706	0.521345910724631
PARK7	8.47111225289634	8.46243729258907	8.61482275049874	8.44691208031279	8.6176384751941	8.47408095039355
ERRFI1	7.90600062463887	7.60188027176957	7.58532801810391	7.67247232032941	7.25523176340533	7.48297195811157
SLC45A1	1.29846889513923	1.40551325009641	1.57548102182426	0.911274782885196	1.05963651459626	0.660553880971696
RERE	4.7730240998288	4.78169453801334	4.72969571700192	4.70333379999316	4.62613378429113	4.6653577447058
ENO1	9.48648268727457	9.51433100727208	9.49461565682495	9.38970560328698	9.55949177974101	9.50303858860885
MIR6728	2.53159703027882	0	0	0	0	0
ENO1-AS1	0	1.02729415845591	0	0.501652498937164	0.38648863601886	0
CA6	2.25758109226007	1.94428881359738	2.07494814040219	2.01522668593871	1.74042323726518	2.11881253983479
SLC2A7	0	0	0	0	0	0
SLC2A5	1.13264082242511	1.01946526831576	0.887415172869913	1.20113780092331	0.860644682904257	0.598342519304867
GPR157	2.62476420661739	2.50722305191934	2.55246864206154	2.23253534017384	1.90039916058159	1.57518022134965
MIR34A	0	3.00282872315523	3.21282413150677	2.59885539426858	1.16709358045364	1.98712020166431
H6PD	3.98582820625813	4.09584919799569	3.6727677122819	3.72875524701185	3.67628457555911	3.43205216637182
SPSB1	5.901096227514	5.82922839032862	5.84875638815996	5.84612196771243	5.64167360318871	5.90446090525494
LOC100506022	0.158830472903246	0.396752527011272	0	0.877183271146306	0.224779880274046	0.263790670867849
SLC25A33	4.01330775154128	4.21232434828865	4.29890531856533	4.31573606996161	4.11419847696628	4.21108114436931
TMEM201	3.06951373177392	3.48745680202026	3.17319864271925	3.15992736217101	3.22598442695296	3.20547219949012
PIK3CD	4.91182365581197	5.08029790457109	5.06891935201531	4.78107584739252	4.86203293809644	4.96729486790797
C1orf200	0	0	0	0	0	0
CLSTN1	7.82673393180754	7.7763009277113	7.53486309720982	7.82794285165031	7.56947166282219	7.7104861128915
CTNNBIP1	5.31623147629586	5.24407287467552	5.22126091432906	5.13676565121881	4.7879147783038	5.07077287994706
LZIC	4.50966550015045	4.73116641491738	4.86446457894959	4.59688999121618	4.66364013099037	4.91657363916223
NMNAT1	3.59322089335136	3.42710951090825	3.51955110494965	3.44735673541895	3.51098966382555	3.31125245982935
RBP7	3.23988442072703	3.28077065543634	3.35908061980363	3.28947992302682	3.40903906125656	3.74912210449878
UBE4B	4.38601961289325	4.32248121503156	4.27351503084833	4.21746114761898	4.30969117695011	4.28526749468162
KIF1B	4.10444084679564	4.05748582175537	3.96700464546285	4.00066933463586	3.82435431763717	3.91447789949199
PGD	7.70791106363296	7.66813405359606	7.63714892499953	7.60579154118967	7.58751221817166	7.67855766190637
APITD1-CORT	0	0	0	0	0	0
APITD1	1.13484415633093	1.20233656617218	1.28579674143436	1.2436709367095	1.20125878876803	1.24759613684202
CORT	0.853381588970837	1.00220361451196	1.30933802557055	0.810071758700605	0.415662204073746	1.13227454739607
DFFA	4.35646538686788	4.41198600267352	4.21101541051873	4.07011481579767	4.21459047045671	4.20878116516387
PEX14	5.4648259458316	5.45000546105875	5.43568033003299	5.62467287372947	5.40125252369262	5.68283898456705
CASZ1	3.9366836402744	3.8341131520064	3.61139969020345	3.86517796230333	3.32451122708136	3.57090277317263
C1orf127	0	0.07847594374949	0	0	0	0
TARDBP	5.75002589628044	5.84761570691361	5.73083545083665	5.77460564636295	5.83490187719658	5.75613053442191
MASP2	1.76160514156675	2.067683660231	2.25555968462143	2.09336724538858	1.47725387675407	2.12830859018599
SRM	7.25643914079291	7.64184403761244	7.40972185322714	7.15150028985806	7.26626349539458	7.39683968521161
EXOSC10	5.54658152112531	5.71635376293662	5.59148152794039	5.85517709717786	5.8288525240282	5.66119699411596
MTOR	4.77900667293621	4.81799416347046	4.59297860761449	4.72833878204097	4.69346756354323	4.69646956715617
MTOR-AS1	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0.442535447368191	0
UBIAD1	3.96692108743829	4.07020104791851	4.11354309845714	4.05155195457881	4.15370332666451	4.29984144161696
PTCHD2	0.11320433909911	0.0829807876679557	0.120688430117733	0.236155995605824	0.0738976457175053	0.170030432531069
LOC101929181	0	0	0	0	0	0
FBXO2	6.54919770055117	6.64770388569064	6.38521973866987	6.84660547616234	7.16758831924339	6.81155722224297
FBXO44	3.87539629593978	3.91562382237396	3.90020844029182	3.76207926235676	3.53187913926868	3.82054991477594
FBXO6	5.38076227318394	5.00397533989008	5.09541850026063	5.31442806954924	5.20602543215136	5.23380334496833
MAD2L2	5.28260363391123	5.55177642280278	5.4308461441362	5.29519143832066	5.5133085687223	5.40514284289194
DRAXIN	1.98572377710731	1.49984252386706	1.72654368028883	1.76802848587619	1.58939933168903	1.3053030221553
AGTRAP	6.82229010965742	6.81582220246995	6.89050328621997	6.88707134001342	7.13857786503669	6.93386144785655
C1orf167	0	0	0	0	0	0
MTHFR	2.91226195838553	2.7578059175988	2.67995930206744	2.67700343803169	2.40916076509461	2.57800933724016
CLCN6	2.9699300261925	3.33421142989341	3.09958257701443	3.22501952791266	2.98425157682748	3.16041330793709
NPPA-AS1	1.34283431009859	0.947608438124693	1.12840255477457	0.832791274182251	1.10712233500687	0.986239703771679
NPPA	1.99646869222908	1.29034111147451	1.56232523987622	1.45277998349799	1.0861530251839	1.54061661694813
NPPB	5.89569918176926	5.97025421227298	6.77362942116016	6.04652899697982	5.88995937294726	6.43451709475113
KIAA2013	6.38141598828842	6.39786398404835	6.31548564726033	6.43305738720798	6.23006161217404	6.31060629368347
PLOD1	8.12596127347839	8.26157841717249	8.07371921754136	8.14599439226252	8.21057571723792	8.20681622170981
MFN2	6.21559828074974	6.25001702686665	6.01018938728797	6.0285528416048	6.13150560653284	6.0255637403964
MIIP	4.4921678057771	4.48150962385245	4.47370559149621	4.26506050069411	4.1610089944018	4.37403489340549
MIR6729	0	0	0	0	0	0
TNFRSF8	0.106987998324806	0.37084939948175	0.269878520943442	0.323746368228277	0.41634787814193	0.23503340480267
MIR7846	0	0	0	0	0	0
TNFRSF1B	2.39133616642874	2.20535902616706	1.81439809968829	2.08059512389034	1.79105254014576	2.05310391791692
MIR4632	0	0	0	2.01448482314482	0	0
VPS13D	3.37626466571214	3.41039672228813	3.08504114799972	3.27638913158721	3.059023161942	3.18718132244066
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	5.17297694015915	4.89506067951351	5.04215310017733	5.38897642228368	5.28874884344221	4.98887634096983
MIR6730	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0.273359307208708	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0.264943833461805	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
LOC391003	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
LOC645354	0	0	0	0	0	0
LOC649324	0	0	0	0	0	0
HNRNPCL2	0.690302553881946	0.180805778795324	0.177831390612753	0.401487098860595	0.30690348039058	0.358491017914745
PRAMEF10	0	0	0	0	0	0
LOC645382	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
LOC400736	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0.456043976766008	0.57081552079106	0.843818218953504	0.36916729704931	0.19360941510428	0.424183331167293
PDPN	5.46375648945511	5.6181331956873	5.62925186745666	5.97412084637647	6.59994661373389	5.99324572603973
PRDM2	4.18607017277747	4.17315363875077	4.18471380895674	4.21511512135841	4.04177718021396	4.15735172026209
KAZN	3.18859179814717	3.24815832948984	3.08934698764071	3.21647261483592	2.86284396837667	3.09063537897556
TMEM51-AS1	1.71226133100511	1.36188862260053	1.44179733285054	1.69253533078973	1.27114776124241	1.31914370060869
TMEM51	6.91507242713605	6.9578080929683	6.8829042848289	7.37570161336039	6.98165362449087	7.25436374801108
C1orf195	0	0	0	0	0.251643859913155	0
FHAD1	1.69143327722273	1.85111972528123	2.00327812648207	1.7044590860021	1.91555791805236	1.39706359573955
EFHD2	6.00236923464368	6.23399470938403	6.17549126304182	6.03800968165465	5.96606577928309	6.08310840530388
CTRC	0.395738427824069	0.425858174889392	1.67486223840935	0.270586649669187	0	0.446493941374204
CELA2A	0	0	0.579662951530322	0	0.674204124565158	0
CELA2B	0.386710834336421	0.223078337355815	0	0.264156925576722	0.199681766425098	0.436474115326262
CASP9	3.19508739859999	2.80312033858753	3.13039490541617	3.00298610615471	2.775509614089	2.79113042644831
DNAJC16	3.24997834311572	3.05770080647853	3.04798615647581	3.25376253914924	3.37504441526792	3.09730583845977
AGMAT	1.08713658098495	1.05422399961851	1.31643728503939	1.46679200718593	0.79784872240925	1.13025553252401
DDI2	2.35868718347803	2.69403321813448	2.11719314715228	2.17929338763892	1.7449125872982	2.29089737864488
RSC1A1	2.99338158580145	2.88952161333188	2.37058578854136	2.65575847875067	2.66014381785962	2.70936847452157
PLEKHM2	6.57029449225786	6.58096086873905	6.47156416211917	6.44860405526334	6.08559150971923	6.35211734182916
SLC25A34	1.07661148037347	1.49052586546923	1.524595274182	1.36215509884324	1.05041460292172	1.15153888234123
TMEM82	0	0	0	0	0.148364127006391	0
FBLIM1	6.88282615020421	6.93900247332786	6.89439682599944	6.86558178317289	6.88048784290307	6.89134227630986
UQCRHL	7.69679594561181	7.62793334733308	7.89685014660127	7.5507183364066	7.80139102671619	7.56837050640199
FLJ37453	1.71583432290489	1.70479048674311	1.662112174633	1.50227867615102	1.32455382725327	1.41739554769373
SPEN	4.98911376077919	4.95739304242744	4.79131459902464	4.75155468140889	4.54640113367739	4.66766675635443
ZBTB17	4.894306849086	5.06532000537012	4.964936436928	4.85195187519943	4.5701020682439	5.00988809052464
C1orf64	0.692564368923048	0.417022600675319	0	0.264681008968637	0	0.772409478750065
HSPB7	1.68145425266447	1.15542874329556	1.07119211343903	1.26953953199892	1.60275032330652	1.57202809911517
CLCNKA	0	0	0	0	0	0
CLCNKB	0	0	0	0	0	0
FAM131C	0.322171076727448	0.446734972501493	0.123204631964102	0.408270235103673	0.488255448798576	0.132053292241663
EPHA2	8.18523964517022	8.12416610448937	8.0815947589706	8.42466329090117	7.75160391969751	8.30163991278605
ARHGEF19	2.53041478462137	2.45525996285186	2.32342618777296	2.40218137228758	2.3293687281897	2.11680688076868
RSG1	1.93327017064172	2.15797441283968	1.85784334386831	1.41381269367488	1.46288950196841	1.52671219775501
FBXO42	4.67528801087305	4.6113051188335	4.77854754428566	4.49983213434989	4.39419551012966	4.69947673422811
SZRD1	6.70295052678555	6.65411851643681	6.5418225325768	6.42790554130901	6.37954776883019	6.38177155299846
SPATA21	0.0981589702977304	0	0	0	0	0.11225370421377
NECAP2	6.90972181338051	6.91361019107897	6.96526845196994	6.79873212026848	6.95791280617362	6.82766395150009
CROCCP3	0.904694353536668	1.10441378771783	0.991865165716458	0.976281614281161	1.17036952057884	0.957228845500851
MIR3675	0	0	0	0	0	0
NBPF1	4.20277842667161	4.34591810228968	4.15621849020894	4.09260511600188	3.97683595592226	4.11147170183053
CROCCP2	4.38777984898552	4.2086395052534	4.49605445396647	4.31571001785988	3.81959235907123	3.99684123934467
MST1P2	1.32593811707217	1.36788995475978	1.64550632064222	1.53587877802024	1.29595320378416	1.51378978688327
FAM231A	0.187878733696798	0.931996345178391	0.199968431120691	0	0.488499085312144	0
ESPNP	0.64455139543204	0.385588859940412	0.746166642325641	0.127026702565646	0.422218934736294	0.404534638783375
MST1L	0.571696578972714	0.482099511014435	0.777957530222898	0.354016216638853	0.0822990526088498	0.274493052101574
CROCC	2.22879106696253	2.58149995879476	2.61501074801061	2.24298741036883	2.17634193854129	2.23981834762571
MFAP2	5.58882463397464	6.14320849759366	6.0828170230812	5.68795250636117	6.1853746089879	5.86340333796043
ATP13A2	5.34380058023353	5.42453032933228	5.10464336959617	5.25663876120599	4.96743068336571	5.24822784757495
SDHB	6.86391315380491	7.0723877801198	7.09543480912386	6.99255332944513	7.03292278465385	7.0413364145261
PADI2	4.63238801857557	3.89750786785627	3.7636443269704	3.76366112671399	3.21577185018317	3.59679759566476
PADI1	0.151383176699243	0.214726552395027	0.161253591139664	0.61381923614501	0.32113378111377	0.374818073191838
PADI3	0.0628139565044875	0	0.0670438523453904	0.0815783359288163	0.118966376112622	0.0719592887514768
PADI4	0	0	0	0	0	0
PADI6	0	0	0	0	0	0
RCC2	7.04176583109319	6.96684334395598	6.98622124799686	6.9526738849159	6.62571064272453	6.93421667497547
ARHGEF10L	4.65067414941306	4.56693064137455	4.26214399478554	4.19960779845249	3.7152752371527	4.1418218630061
ACTL8	0	0	0	0	0	0
IGSF21	0.101620597697182	0	0	0	0.0982589613962622	0
KLHDC7A	0.766681224243551	0.315182642103645	0.443447261322153	0.52616103692642	0.57307717433134	0.717936417724427
PAX7	0	0.0348479167092826	0.132360126094131	0	0	0
TAS1R2	0.0789855441110763	0	0	0.102412081702711	0	0.0904125640627109
ALDH4A1	2.92152465422408	3.00459071767268	2.75686763196861	2.70964219141516	2.89296337304649	2.82803949902347
MIR4695	0	0	0	0	0	0
IFFO2	7.00042973635975	6.94276665242587	6.82034788665214	7.04386761660638	6.6858954316283	6.90361455142166
UBR4	5.51014693777245	5.52403189101525	5.38345384090084	5.44662724915806	5.20678558260278	5.25952323392585
EMC1	5.05485458607284	5.21847855476091	4.98588773728602	5.08864549143596	5.01168101323384	5.14718892150098
MRTO4	6.00369257137892	6.11077143440649	6.13171973558652	6.16145271708821	6.01334185032766	6.19159625320849
AKR7L	0.743644802034073	0.951445931198309	0.727131367519045	0.849181441889404	0.670941899535858	0.827868679906901
AKR7A3	1.37876704780137	1.58012091493468	1.37215152446206	1.03289074145578	1.14696398024602	0.940859671190669
LOC100506730	1.83345865586426	1.3849554803577	1.67467856616135	1.88024673536923	1.37615363272557	1.59925751477262
AKR7A2	4.47822971214129	4.5371547972733	4.54537352864353	4.38534557936962	4.40200803577033	4.40821791841456
